Venue Type
Airports
Apartment Buildings and Condominiums
Banks
Bars
Billboards
Bus Shelters
Buses
Cannabis Dispensaries
Casual Dining
Colleges and Universities
Convenience Stores
DMVs
Doctor’s Offices
Ferry
Fueling Stations
Grocery
Gyms
High-End Dining
Hotels
Liquor Stores
Mall
Military Bases
Movie Theaters
Night Clubs
Office Buildings
Parking Garages
Pharmacies
QSR
Recreational Locations
Salons
Schools
Spas
Sports Entertainment
Subway
Taxi & Rideshare Top
Train Stations
UNKNOWN
Urban Panels
Venue Type
Veterinary Offices
